rsid	ASTHMA_NAS	ASTHMA_CHILD_EXMORE	ASTHMA_INFECTIONS	ASTHMA_PNEUMONIA	ASTHMA_OPPORTUNIST_INFECTIONS	I9_HEARTFAIL_AND_CHD	I9_HEARTFAIL_AND_ANTIHYPERT	I9_CVD_HARD	COPD_INSUFFICIENCY	CARDIAC_ARRHYTM	THYROTOXICOSIS	SPONDYLOARTHRITIS	ANTIDEPRESSANTS	COPD_LATER	COPD_EARLY	COPD_OPPORTUNIST_INFECTIONS	T2D	T2D_WIDE	KELA_DIAB_INSUL_EXMORE	T1D	AUTOIMMUNE	RX_ANTIHYP	RX_PARACETAMOL_NSAID	RX_CROHN_2NDLINE	RX_CROHN_1STLINE	K11_REIMB_202	CHRONSMALL	CIRRHOSIS_BROAD	CHIRHEP_NAS	CD2_BENIGN_LEIOMYOMA_UTERI	CD2_BENIGN_MENINGES	CD2_BENIGN_MENINGES_CEREBRAL	C3_PROSTATE_EXALLC	C3_BREAST_ERPLUS_EXALLC	C3_BREAST_EXALLC	C3_BILIARY_GALLBLADDER_EXALLC	C3_BASAL_CELL_CARCINOMA_EXALLC	D3_ANAEMIA_IRONDEF	LUNG_TRANSPLANTATION	E4_GILBERT	E4_OBESITY	E4_OBESITYNAS	E4_NONTOXIC_THYROID	E4_GOITREMULTINOD	E4_THYTOXGOITMULT	E4_HYTHY_AI_STRICT	E4_THYROID	E4_METABONAS	E4_PLASMAPROT	HYPOTHY_REIMB	I9_ABAORTANEUR	I9_AORTANEUR	I9_HYPTENSESS	RX_STATIN	I9_CORATHER	I9_MI_STRICT	I9_CHD	I9_CABG	I9_ANGINA	I9_ANGIO	I9_REVASC	I9_HYPTENS	I9_ANEURYSM	I9_SAHANEUR	I9_INTRACRA	I9_UAP	I9_SAH	I9_CAVS_OPERATED	I9_IHD	I9_PULMEMB	I9_VTE	I9_VARICVE	I9_DISVEINLYMPH	I9_PHLETHROMBDVTLOW	I9_THROMBOTH	I9_PHLETHROM	I9_VEINSOTH	I9_POSTAMI	I9_ATHSCLE	PAIN	BLEEDING	SLEEP	HEIGHT_IRN	WEIGHT_IRN	BMI_IRN	SPONDYLOPATHY_FG	OTHER_SYSTCON_FG	RHEUMA_SEROPOS_OTH	RHEUMA_SEROPOS_STRICT	RHEUMA_SEROPOS_WIDE	RHEUMA_OTHER_WIDE	RHEU_ARTHRITIS_OTH	F5_DEPRESSION_RECURRENT	F5_DEPRESSION_DYSTHYMIA	F5_MOOD	F5_DEPRESSIO	F5_NEUROTICOTH	RX_N05C	FE_MODE	G6_CARPTU	G6_EPIPAROX	G6_SLEEPAPNO_INCLAVO	G6_SLEEPAPNO	G6_HCNP	G6_HYDROCEPH	G6_NERPLEX	H7_DIVERGSTRAB	H7_STRABOTH	H7_GLAUCOMA_POAG	H7_CATARACTOTHER	H7_CATARACTSENILE	H7_RETINALBREAK	H7_RETINALDETACH	H7_IRIDOCYC_ANTER	H7_IRIDOACUTE	H7_IRIDOCYCLITIS	H7_MACULADEGEN	H7_AMD	H7_CHOROIDRETINA	H7_RETINALDISOTH	H7_MODVISIMPBINOC	MACULA_NAS	WET_AMD	DRY_AMD	H7_BLINDANDVISIMPAIRMENT	H7_STENOLACRI	H8_OTOSCLE	H8_HL_SEN_NAS	J10_COPD	J10_LOWCHRON	J10_ASTHMACOPDKELA	J10_PLEURA	J10_PLEURPLAGUE	J10_ASTHMA_MAIN_EXMORE	J10_ASTHMA_EXMORE	J10_UPPERDIS	J10_BRONCHIECTASIS	J10_EMPHYSEMA	K11_K03_COMBINATION	ABDOM_HERNIA	K11_APPENDACUT	K11_UMBHER	K11_CHOLELITH	K11_HERNIA	K11_COELIAC	K11_OTHDIG	K11_KELAIBD	K11_CD_STRICT2	K11_IBD_STRICT	K11_HERING	K11_CHOLECYSTECTOMY	K11_FIBROCHIRLIV	L12_CELLULITIS	L12_PAPULOSQUAMOUS	L12_PSORI_VULG	PSORI_STRICT	L12_LICHENSCLERATROPH	L12_PSORI_NAS	L12_ERYTHRO_KELA	L12_PSORIASIS	L12_PSORI_GUTTATE	L12_DERMATITISNAS	M13_HALLUXVALGUS	M13_ARTHROSIS	M13_ARTHROPATHIES	M13_ARTHROSIS_KNEE	M13_ARTHROSIS_KNEE_PRIM_KNEESURG	M13_SJOGREN	M13_ANKYLOSPON	M13_SYSTCONNECT	M13_REACTARTH	M13_ANKYLOSPON_STRICT	M13_PSORIARTH	M13_RHEUMA	M13_DORSALGIA	M13_INTERVERTEB	M13_SPINSTENOSIS	M13_OSTEOPOROSIS	M13_DORSOPATHY	M13_ARTHTROSIS_COX_PRIM_ICD10	M13_DORSOPATHYOTH	M13_ARTHTROSIS_COX_PRIM_HIPSURG	M13_SPONDYLOSIS	M13_POLYARTHROPATHIES	M13_GANGLION	M13_ARTHROSIS_INCLAVO	M13_SPONDYLOPATHY	M13_HALLUXRIGIDUS	N14_ENDOMETRIOSIS	N14_ENDOMETRIOSIS_OVARY	N14_BREAST	N14_HYPERTROPHYBREAST	N14_HYPERTROPHYBREAST_BOTH	N14_URETHRAOTH	N14_CALCUKIDUR	ST19_FRACT_FOREA	O15_ICP_WIDE_EXMORE	O15_ICP_WIDE	O15_ICP_EXMORE	O15_PREG_MATERN_CARE	Z21_LUNG_TRANSPLANT_STATUS
rs10026792	0.0467594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0548223	0.03028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs11079830	NA	-0.0921586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0778131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0271339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833214	NA	-0.0113024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs1342766	NA	NA	-0.0492786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0372162	-0.042649	NA	NA	-0.0392243	-0.0390584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2555111	NA	-0.0983004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00871134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0269715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28929474	NA	NA	NA	0.198259	0.57037	NA	NA	NA	0.45457	NA	NA	NA	NA	0.2516	0.391449	0.829069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.350092	0.693729	NA	NA	NA	NA	NA	NA	0.545312	NA	NA	1.21886	NA	NA	NA	NA	NA	NA	NA	NA	2.03071	2.92669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12323	NA	0.0695928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.178165	NA	NA	NA	NA	NA	-0.133542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.331723	0.110909	0.118954	0.192254	NA	NA	0.124283	NA	0.578867	0.79701	NA	NA	NA	NA	0.318602	NA	NA	NA	NA	NA	NA	NA	0.288652	0.474335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.101391	-0.139589	NA	0.250514	-0.0907142	-0.179696	-0.091131	-0.223115	-0.179377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02901	1.01874	1.0665	0.312393	1.22011
rs12935787	NA	NA	NA	NA	NA	-0.082199	-0.062265	-0.0374684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.030733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0589757	-0.0586673	-0.0579482	-0.106016	-0.0575662	-0.0754959	-0.0841059	-0.0290426	0.132198	0.139274	0.081472	-0.0662363	0.162091	-0.0969238	-0.0444098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0519922	-0.17359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0373828	NA	NA	NA	NA	NA	NA	NA
rs149163995	NA	NA	NA	NA	NA	NA	NA	-0.05144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0948022	-0.108532	-0.105428	-0.214701	-0.103983	-0.127599	-0.155151	NA	NA	NA	NA	-0.0910009	NA	NA	-0.0778515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs2000660	NA	NA	NA	NA	NA	NA	NA	-0.0855964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0844093	-0.103398	-0.0960742	-0.178765	NA	-0.126545	-0.14102	NA	NA	NA	NA	NA	NA	NA	-0.0593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs28451064	NA	NA	NA	NA	NA	-0.11487	NA	-0.0543862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.100709	-0.1324	-0.104541	-0.179553	-0.0842718	-0.137517	-0.149206	NA	NA	-0.121934	NA	-0.0831078	NA	NA	-0.0846409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rs34689419	NA	NA	NA	NA	NA	-0.0806351	-0.0609241	-0.0360599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0302194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0578494	-0.0574182	-0.0563415	-0.10496	-0.0562966	-0.0736188	-0.0827311	-0.0283823	0.129468	0.138171	0.0820973	-0.0640088	0.160433	-0.096652	-0.043521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.0513698	-0.171054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0369117	NA	NA	NA	NA	NA	NA	NA
